accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20241129,KOSS,Koss Corporation Common Stock,R,SC,354104,330788,,171889,2.06,,7.05,23316,2024-11-29,2024-11-29
20241129,NOK,Nokia Corporation,A,NYSE,50895709,56462562,,22285968,2.28,,-9.86,-5566853,2024-11-29,2024-11-29
20241115,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,49811860,48610057,,14152186,3.52,,2.47,1201803,2024-11-15,2024-11-15
20241115,BB,BlackBerry Limited,A,NYSE,24825096,26975284,,10366597,2.39,,-7.97,-2150188,2024-11-15,2024-11-15
20241115,GME,GameStop Corp. Class A,A,NYSE,31866496,35943712,,12733092,2.5,,-11.34,-4077216,2024-11-15,2024-11-15
20241115,KOSS,Koss Corporation Common Stock,R,SC,330788,409272,,182400,1.81,,-19.18,-78484,2024-11-15,2024-11-15
20241115,NOK,Nokia Corporation,A,NYSE,56462562,58433246,,15229364,3.71,,-3.37,-1970684,2024-11-15,2024-11-15
20241031,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,48610057,52759376,,5988686,8.12,,-7.86,-4149319,2024-10-31,2024-10-31
20241031,BB,BlackBerry Limited,A,NYSE,26975284,26300336,,8384838,3.22,,2.57,674948,2024-10-31,2024-10-31
20241031,GME,GameStop Corp. Class A,A,NYSE,35943712,35962132,,6090390,5.9,,-0.05,-18420,2024-10-31,2024-10-31
20241031,KOSS,Koss Corporation Common Stock,R,SC,409272,421425,,202183,2.02,,-2.88,-12153,2024-10-31,2024-10-31
20241031,NOK,Nokia Corporation,A,NYSE,58433246,48801476,,28737196,2.03,,19.74,9631770,2024-10-31,2024-10-31
20241015,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,52759376,57177199,,7300672,7.23,,-7.73,-4417823,2024-10-15,2024-10-15
20241015,BB,BlackBerry Limited,A,NYSE,26300336,30281816,,8077215,3.26,,-13.15,-3981480,2024-10-15,2024-10-15
20241015,GME,GameStop Corp. Class A,A,NYSE,35962132,38133807,,5198923,6.92,,-5.69,-2171675,2024-10-15,2024-10-15
20241015,KOSS,Koss Corporation Common Stock,R,SC,421425,489003,,150134,2.81,,-13.82,-67578,2024-10-15,2024-10-15
20241015,NOK,Nokia Corporation,A,NYSE,48801476,47791368,,13589454,3.59,,2.11,1010108,2024-10-15,2024-10-15
20240930,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,57177199,50439747,,11129825,5.14,,13.36,6737452,2024-09-30,2024-09-30
20240930,BB,BlackBerry Limited,A,NYSE,30281816,29489003,,11346162,2.67,,2.69,792813,2024-09-30,2024-09-30
20240930,GME,GameStop Corp. Class A,A,NYSE,38133807,36551732,,13585925,2.81,,4.33,1582075,2024-09-30,2024-09-30
20240930,KOSS,Koss Corporation Common Stock,R,SC,489003,466647,,240042,2.04,,4.79,22356,2024-09-30,2024-09-30
20240930,NOK,Nokia Corporation,A,NYSE,47791368,32630209,,23843081,2.0,,46.46,15161159,2024-09-30,2024-09-30
20240913,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,50439747,50656601,,7878562,6.4,,-0.43,-216854,2024-09-13,2024-09-13
20240913,BB,BlackBerry Limited,A,NYSE,29489003,29206030,,4292103,6.87,,0.97,282973,2024-09-13,2024-09-13
20240913,GME,GameStop Corp. Class A,A,NYSE,36551732,35551855,,14091060,2.59,,2.81,999877,2024-09-13,2024-09-13
20240913,KOSS,Koss Corporation Common Stock,R,SC,466647,493514,,289020,1.61,,-5.44,-26867,2024-09-13,2024-09-13
20240913,NOK,Nokia Corporation,A,NYSE,32630209,24565062,,21523369,1.52,,32.83,8065147,2024-09-13,2024-09-13
20240830,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,50656601,51247216,,8077030,6.27,,-1.15,-590615,2024-08-30,2024-08-30
20240830,BB,BlackBerry Limited,A,NYSE,29206030,31473367,,4267581,6.84,,-7.2,-2267337,2024-08-30,2024-08-30
20240830,GME,GameStop Corp. Class A,A,NYSE,35551855,35971941,,5689610,6.25,,-1.17,-420086,2024-08-30,2024-08-30
20240830,KOSS,Koss Corporation Common Stock,R,SC,493514,329114,,528482,1.0,,49.95,164400,2024-08-30,2024-08-30
20240830,NOK,Nokia Corporation,A,NYSE,24565062,28462733,,14892980,1.65,,-13.69,-3897671,2024-08-30,2024-08-30
20240815,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,51247216,51900469,,12141762,4.22,,-1.26,-653253,2024-08-15,2024-08-15
20240815,BB,BlackBerry Limited,A,NYSE,31473367,31622213,,3930158,8.01,,-0.47,-148846,2024-08-15,2024-08-15
20240815,GME,GameStop Corp. Class A,A,NYSE,35971941,37925649,,6423530,5.6,,-5.15,-1953708,2024-08-15,2024-08-15
20240815,KOSS,Koss Corporation Common Stock,R,SC,329114,544075,,234133,1.41,,-39.51,-214961,2024-08-15,2024-08-15
20240815,NOK,Nokia Corporation,A,NYSE,28462733,23947189,,13139543,2.17,,18.86,4515544,2024-08-15,2024-08-15
20240731,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,51900469,53744937,,19306368,2.69,,-3.43,-1844468,2024-07-31,2024-07-31
20240731,BB,BlackBerry Limited,A,NYSE,31622213,32717693,,5282242,5.99,,-3.35,-1095480,2024-07-31,2024-07-31
20240731,GME,GameStop Corp. Class A,A,NYSE,37925649,40344382,,12549488,3.02,,-6.0,-2418733,2024-07-31,2024-07-31
20240731,KOSS,Koss Corporation Common Stock,R,SC,544075,805338,,1994367,1.0,,-32.44,-261263,2024-07-31,2024-07-31
20240731,NOK,Nokia Corporation,A,NYSE,23947189,20972145,,14942476,1.6,,14.19,2975044,2024-07-31,2024-07-31
20240715,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,53744937,53873669,,18516004,2.9,,-0.24,-128732,2024-07-15,2024-07-15
20240715,BB,BlackBerry Limited,A,NYSE,32717693,32707263,,6253545,5.23,,0.03,10430,2024-07-15,2024-07-15
20240715,GME,GameStop Corp. Class A,A,NYSE,40344382,41953496,,15807656,2.55,,-3.84,-1609114,2024-07-15,2024-07-15
20240715,KOSS,Koss Corporation Common Stock,R,SC,805338,296733,,16129009,1.0,,171.4,508605,2024-07-15,2024-07-15
20240715,NOK,Nokia Corporation,A,NYSE,20972145,14671021,,13289370,1.58,,42.95,6301124,2024-07-15,2024-07-15
20240628,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,53873669,52945480,,23654709,2.28,,1.75,928189,2024-06-28,2024-06-28
20240628,BB,BlackBerry Limited,A,NYSE,32707263,51992700,,19920814,1.64,,-37.09,-19285437,2024-06-28,2024-06-28
20240628,GME,GameStop Corp. Class A,A,NYSE,41953496,44729815,,35026105,1.2,,-6.21,-2776319,2024-06-28,2024-06-28
20240628,KOSS,Koss Corporation Common Stock,R,SC,296733,403987,,86383,3.44,,-26.55,-107254,2024-06-28,2024-06-28
20240628,NOK,Nokia Corporation,A,NYSE,14671021,18522543,,11982262,1.22,,-20.79,-3851522,2024-06-28,2024-06-28
20240614,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,52945480,58201931,,73137385,1.0,,-9.03,-5256451,2024-06-14,2024-06-14
20240614,BB,BlackBerry Limited,A,NYSE,51992700,41224263,,11407081,4.56,,26.12,10768437,2024-06-14,2024-06-14
20240614,GME,GameStop Corp. Class A,A,NYSE,44729815,46538235,,139302192,1.0,,-3.89,-1808420,2024-06-14,2024-06-14
20240614,KOSS,Koss Corporation Common Stock,R,SC,403987,340546,,555107,1.0,,18.63,63441,2024-06-14,2024-06-14
20240614,NOK,Nokia Corporation,A,NYSE,18522543,23635615,,10468585,1.77,,-21.63,-5113072,2024-06-14,2024-06-14
20240531,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,58201931,56731489,,65038643,1.0,,2.59,1470442,2024-05-31,2024-05-31
20240531,BB,BlackBerry Limited,A,NYSE,41224263,42131319,,7001500,5.89,,-2.15,-907056,2024-05-31,2024-05-31
20240531,GME,GameStop Corp. Class A,A,NYSE,46538235,68391054,,52050019,1.0,,-31.95,-21852819,2024-05-31,2024-05-31
20240531,KOSS,Koss Corporation Common Stock,R,SC,340546,1089738,,376045,1.0,,-68.75,-749192,2024-05-31,2024-05-31
20240531,NOK,Nokia Corporation,A,NYSE,23635615,25768492,,11492851,2.06,,-8.28,-2132877,2024-05-31,2024-05-31
20240515,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,56731489,55449039,,152872883,1.0,,2.31,1282450,2024-05-15,2024-05-15
20240515,BB,BlackBerry Limited,A,NYSE,42131319,42586717,,17408588,2.42,,-1.07,-455398,2024-05-15,2024-05-15
20240515,GME,GameStop Corp. Class A,A,NYSE,68391054,64373343,,66664695,1.03,,6.24,4017711,2024-05-15,2024-05-15
20240515,KOSS,Koss Corporation Common Stock,R,SC,1089738,11568,,4007405,1.0,,9320.28,1078170,2024-05-15,2024-05-15
20240515,NOK,Nokia Corporation,A,NYSE,25768492,21308358,,14364586,1.79,,20.93,4460134,2024-05-15,2024-05-15
20240430,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,55449039,50685424,,19942711,2.78,,9.4,4763615,2024-04-30,2024-04-30
20240430,BB,BlackBerry Limited,A,NYSE,42586717,44214311,,5104798,8.34,,-3.68,-1627594,2024-04-30,2024-04-30
20240430,GME,GameStop Corp. Class A,A,NYSE,64373343,59954492,,3708218,17.36,,7.37,4418851,2024-04-30,2024-04-30
20240430,KOSS,Koss Corporation Common Stock,R,SC,11568,11254,,8597,1.35,,2.79,314,2024-04-30,2024-04-30
20240430,NOK,Nokia Corporation,A,NYSE,21308358,19568835,,18393630,1.16,,8.89,1739523,2024-04-30,2024-04-30
20240415,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,50685424,42191492,,18166542,2.79,,20.13,8493932,2024-04-15,2024-04-15
20240415,BB,BlackBerry Limited,A,NYSE,44214311,47873879,,11744246,3.76,,-7.64,-3659568,2024-04-15,2024-04-15
20240415,EXPR,EXPRESS INC Common Stock,S,OTC,234053,219957,,148421,1.58,,6.41,14096,2024-04-15,2024-04-15
20240415,GME,GameStop Corp. Class A,A,NYSE,59954492,65688393,,4708722,12.73,,-8.73,-5733901,2024-04-15,2024-04-15
20240415,KOSS,Koss Corporation Common Stock,R,SC,11254,9793,,17440,1.0,,14.92,1461,2024-04-15,2024-04-15
20240415,NOK,Nokia Corporation,A,NYSE,19568835,26330313,,13821368,1.42,,-25.68,-6761478,2024-04-15,2024-04-15
20240328,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,42191492,36329391,,13274758,3.18,,16.14,5862101,2024-03-28,2024-03-28
20240328,BB,BlackBerry Limited,A,NYSE,47873879,43289675,,9011722,5.31,,10.59,4584204,2024-03-28,2024-03-28
20240328,EXPR,EXPRESS INC Common Stock,S,OTC,219957,265240,,44315,4.96,,-17.07,-45283,2024-03-28,2024-03-28
20240328,GME,GameStop Corp. Class A,A,NYSE,65688393,59554103,,8123131,8.09,,10.3,6134290,2024-03-28,2024-03-28
20240328,KOSS,Koss Corporation Common Stock,R,SC,9793,10845,,14523,1.0,,-9.7,-1052,2024-03-28,2024-03-28
20240328,NOK,Nokia Corporation,A,NYSE,26330313,30810818,,15695264,1.68,,-14.54,-4480505,2024-03-28,2024-03-28
20240315,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,36329391,31750252,,13305821,2.73,,14.42,4579139,2024-03-15,2024-03-15
20240315,BB,BlackBerry Limited,A,NYSE,43289675,46381277,,13526526,3.2,,-6.67,-3091602,2024-03-15,2024-03-15
20240315,EXPR,EXPRESS INC Common Stock,S,OTC,265240,569343,,321553,1.0,,-53.41,-304103,2024-03-15,2024-03-15
20240315,GME,GameStop Corp. Class A,A,NYSE,59554103,60479692,,3266095,18.23,,-1.53,-925589,2024-03-15,2024-03-15
20240315,KOSS,Koss Corporation Common Stock,R,SC,10845,15962,,18420,1.0,,-32.06,-5117,2024-03-15,2024-03-15
20240315,NOK,Nokia Corporation,A,NYSE,30810818,26727087,,14610061,2.11,,15.28,4083731,2024-03-15,2024-03-15
20240229,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,31750252,29359675,,14615808,2.17,,8.14,2390577,2024-02-29,2024-02-29
20240229,BB,BlackBerry Limited,A,NYSE,46381277,46756318,,5621638,8.25,,-0.8,-375041,2024-02-29,2024-02-29
20240229,EXPR,"Express, Inc.",A,NYSE,569343,602114,,182538,3.12,,-5.44,-32771,2024-02-29,2024-02-29
20240229,GME,GameStop Corp. Class A,A,NYSE,60479692,60191632,,2456534,24.62,,0.48,288060,2024-02-29,2024-02-29
20240229,KOSS,Koss Corporation Common Stock,R,SC,15962,16563,,21814,1.0,,-3.63,-601,2024-02-29,2024-02-29
20240229,NOK,Nokia Corporation,A,NYSE,26727087,22389187,,11772010,2.27,,19.37,4337900,2024-02-29,2024-02-29
20240215,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,29359675,28620993,,14667131,2.0,,2.58,738682,2024-02-15,2024-02-15
20240215,BB,BlackBerry Limited,A,NYSE,46756318,44777129,,7725383,6.05,,4.42,1979189,2024-02-15,2024-02-15
20240215,EXPR,"Express, Inc.",A,NYSE,602114,469790,,591172,1.02,,28.17,132324,2024-02-15,2024-02-15
20240215,GME,GameStop Corp. Class A,A,NYSE,60191632,59673027,,2851250,21.11,,0.87,518605,2024-02-15,2024-02-15
20240215,KOSS,Koss Corporation Common Stock,R,SC,16563,10531,,13243,1.25,,57.28,6032,2024-02-15,2024-02-15
20240215,NOK,Nokia Corporation,A,NYSE,22389187,19380099,,13564221,1.65,,15.53,3009088,2024-02-15,2024-02-15
20240131,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,28620993,24104314,,13121389,2.18,,18.74,4516679,2024-01-31,2024-01-31
20240131,BB,BlackBerry Limited,A,NYSE,44777129,37192027,,13371678,3.35,,20.39,7585102,2024-01-31,2024-01-31
20240131,EXPR,"Express, Inc.",A,NYSE,469790,440807,,31195,15.06,,6.57,28983,2024-01-31,2024-01-31
20240131,GME,GameStop Corp. Class A,A,NYSE,59673027,60104977,,2885946,20.68,,-0.72,-431950,2024-01-31,2024-01-31
20240131,KOSS,Koss Corporation Common Stock,R,SC,10531,8098,,11920,1.0,,30.04,2433,2024-01-31,2024-01-31
20240131,NOK,Nokia Corporation,A,NYSE,19380099,21092870,,20400745,1.0,,-8.12,-1712771,2024-01-31,2024-01-31
20240112,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,24104314,23283624,,17869237,1.35,,3.52,820690,2024-01-12,2024-01-12
20240112,BB,BlackBerry Limited,A,NYSE,37192027,31095455,,6177896,6.02,,19.61,6096572,2024-01-12,2024-01-12
20240112,EXPR,"Express, Inc.",A,NYSE,440807,476882,,44827,9.83,,-7.56,-36075,2024-01-12,2024-01-12
