ticker,date,marketCap
AKR,2025-03-31,2269953450
AKR,2025-04-30,2317383900
AKR,2025-05-31,2336796540
AKR,2025-06-30,2307677580
AKRO,2024-06-30,1622504954
AKRO,2024-07-31,1848659737
AKRO,2024-08-31,1881165164
AKRO,2024-09-30,1984214285
AKRO,2024-10-31,2132217721
AKRO,2024-11-30,2229092565
AKRO,2024-12-31,1931880223
AKRO,2025-01-31,3755430714
AKRO,2025-02-28,3466575674
AKRO,2025-03-31,2856819692
AKRO,2025-04-30,3218862306
AKRO,2025-05-31,3905301629
AKRO,2025-06-30,4263189291
AKYA,2024-06-30,115642757
AKYA,2024-07-31,122273081
AKYA,2024-08-31,126233343
AKYA,2024-09-30,134803817
AKYA,2024-10-31,139759840
AKYA,2024-11-30,109032499
AKYA,2024-12-31,113492919
AKYA,2025-01-31,144715862
AKYA,2025-02-28,80783170
AKYA,2025-03-31,68888715
AKYA,2025-04-30,59472272
AKYA,2025-05-31,62080643
AKYA,2025-06-30,62577288
ALCO,2024-06-30,197537840
ALCO,2024-07-31,224523472
ALCO,2024-08-31,223379889
ALCO,2024-09-30,213495010
ALCO,2024-10-31,187084830
ALCO,2024-11-30,204564400
ALCO,2024-12-31,198027410
ALCO,2025-01-31,235906930
ALCO,2025-02-28,224298690
ALCO,2025-03-31,227888080
ALCO,2025-04-30,217959980
ALCO,2025-05-31,246293250
ALCO,2025-06-30,238656250
ALDX,2024-06-30,196661958
ALDX,2024-07-31,234548645
ALDX,2024-08-31,342893450
ALDX,2024-09-30,320623039
ALDX,2024-10-31,312890016
ALDX,2024-11-30,291475490
ALDX,2024-12-31,298837512
ALDX,2025-01-31,313809331
ALDX,2025-02-28,306023985
ALDX,2025-03-31,344351842
ALDX,2025-04-30,158701284
ALDX,2025-05-31,128757645
ALDX,2025-06-30,182656194
ALE,2024-06-30,3597595000
ALE,2024-07-31,3728100000
ALE,2024-08-31,3673190000
ALE,2024-09-30,3710182000
ALE,2024-10-31,3693998000
ALE,2024-11-30,3750063999
ALE,2024-12-31,3745440000
ALE,2025-01-31,3792836000
ALE,2025-02-28,3796882000
ALE,2025-03-31,3797460000
ALE,2025-04-30,3785321999
ALE,2025-05-31,3765816000
ALE,2025-06-30,3678387000
ALEC,2024-06-30,425898203
ALEC,2024-07-31,562861062
ALEC,2024-08-31,510443582
ALEC,2024-09-30,450505131
ALEC,2024-10-31,475640611
ALEC,2024-11-30,250388045
ALEC,2024-12-31,182715600
ALEC,2025-01-31,160480368
ALEC,2025-02-28,158475740
ALEC,2025-03-31,118856805
ALEC,2025-04-30,117983299
ALEC,2025-05-31,132199606
ALEC,2025-06-30,146115354
ALEX,2024-06-30,1231550400
ALEX,2024-07-31,1431537300
ALEX,2024-08-31,1437347700
ALEX,2024-09-30,1394553600
ALEX,2024-10-31,1351700130
ALEX,2024-11-30,1429417440
ALEX,2024-12-31,1289396420
ALEX,2025-01-31,1297391550
ALEX,2025-02-28,1316289130
ALEX,2025-03-31,1252328090
ALEX,2025-04-30,1248693940
ALEX,2025-05-31,1301752530
ALEX,2025-06-30,1302479360
ALG,2024-06-30,2066312000
ALG,2024-07-31,2307629280
ALG,2024-08-31,2219979600
ALG,2024-09-30,2156876620
ALG,2024-10-31,2030580580
ALG,2024-11-30,2394801150
ALG,2024-12-31,2226644070
ALG,2025-01-31,2222452120
ALG,2025-02-28,2096085419
ALG,2025-03-31,2134777590
ALG,2025-04-30,2000253419
ALG,2025-05-31,2374499600
ALG,2025-06-30,2571974900
ALGT,2024-06-30,887262720
ALGT,2024-07-31,999615960
ALGT,2024-08-31,750202240
ALGT,2024-09-30,981609680
ALGT,2024-10-31,1164524130
ALGT,2024-11-30,1465999920
ALGT,2024-12-31,1685971560
ALGT,2025-01-31,1834828590
ALGT,2025-02-28,1312122000
ALGT,2025-03-31,922055800
ALGT,2025-04-30,845397020
ALGT,2025-05-31,999550720
ALGT,2025-06-30,903156480
ALHC,2024-06-30,1492773774
ALHC,2024-07-31,1672497613
ALHC,2024-08-31,1724165159
ALHC,2024-09-30,2268224478
ALHC,2024-10-31,2379524833
ALHC,2024-11-30,2419823238
ALHC,2024-12-31,2158843095
ALHC,2025-01-31,2953297353
ALHC,2025-02-28,3010866503
ALHC,2025-03-31,3573125193
ALHC,2025-04-30,3430706081
ALHC,2025-05-31,2975730952
ALHC,2025-06-30,2702745874
ALIT,2024-06-30,4030767072
ALIT,2024-07-31,4134540208
ALIT,2024-08-31,4074461024
ALIT,2024-09-30,3938893556
ALIT,2024-10-31,3688720587
ALIT,2024-11-30,4258263304
ALIT,2024-12-31,3683499952
ALIT,2025-01-31,3646239114
ALIT,2025-02-28,3635593161
ALIT,2025-03-31,3156525248
ALIT,2025-04-30,2720041149
ALIT,2025-05-31,2906345338
ALIT,2025-06-30,2874407477
ALKS,2024-06-30,4056536100
ALKS,2024-07-31,4463213760
ALKS,2024-08-31,4647819600
ALKS,2024-09-30,4629322080
ALKS,2024-10-31,4250574400
ALKS,2024-11-30,4799675840
ALKS,2024-12-31,4756673920
ALKS,2025-01-31,5214809760
ALKS,2025-02-28,5677907360
ALKS,2025-03-31,5461243840
ALKS,2025-04-30,4701219390
ALKS,2025-05-31,5001888270
ALKS,2025-06-30,4753509630
ALKT,2024-06-30,2793988448
ALKT,2024-07-31,3254507615
ALKT,2024-08-31,3315162966
ALKT,2024-09-30,3187345980
ALKT,2024-10-31,3699706288
ALKT,2024-11-30,3988730052
ALKT,2024-12-31,3706780296
ALKT,2025-01-31,3515782075
ALKT,2025-02-28,3116605898
ALKT,2025-03-31,2652753075
ALKT,2025-04-30,2733874662
ALKT,2025-05-31,2933614474
ALKT,2025-06-30,2862937310
ALLO,2024-06-30,442762066
ALLO,2024-07-31,615014339
ALLO,2024-08-31,550165889
ALLO,2024-09-30,589602426
ALLO,2024-10-31,539065075
ALLO,2024-11-30,522219291
ALLO,2024-12-31,448518988
ALLO,2025-01-31,379030131
ALLO,2025-02-28,410615975
ALLO,2025-03-31,307435550
ALLO,2025-04-30,353761455
ALLO,2025-05-31,251969584
ALLO,2025-06-30,264891101
ALMS,2024-06-30,723563916
ALMS,2024-07-31,661152342
ALMS,2024-08-31,682653232
ALMS,2024-09-30,3026911288
ALMS,2024-10-31,3208299231
ALMS,2024-11-30,2624456791
ALMS,2024-12-31,426642875
ALMS,2025-01-31,406016374
ALMS,2025-02-28,252403227
ALMS,2025-03-31,333280820
ALMS,2025-04-30,224720292
ALMS,2025-05-31,189980924
ALMS,2025-06-30,155241555
ALNT,2024-06-30,418648090
ALNT,2024-07-31,479448980
ALNT,2024-08-31,351883080
ALNT,2024-09-30,314607330
ALNT,2024-10-31,286443430
ALNT,2024-11-30,430426780
ALNT,2024-12-31,402416720
ALNT,2025-01-31,417830540
ALNT,2025-02-28,412361120
ALNT,2025-03-31,363801970
ALNT,2025-04-30,353374525
ALNT,2025-05-31,504609600
ALNT,2025-06-30,559718280
ALRM,2024-06-30,3166357240
ALRM,2024-07-31,3476881362
ALRM,2024-08-31,2934280883
ALRM,2024-09-30,2705855458
ALRM,2024-10-31,2639533045
ALRM,2024-11-30,3224061177
ALRM,2024-12-31,3019312252
ALRM,2025-01-31,3012856486
ALRM,2025-02-28,2884734354
ALRM,2025-03-31,2763564586
ALRM,2025-04-30,2661762117
ALRM,2025-05-31,2850469133
ALRM,2025-06-30,2789387651
ALRS,2024-06-30,387081790
ALRS,2024-07-31,443993650
ALRS,2024-08-31,443993650
ALRS,2024-09-30,452497760
ALRS,2024-10-31,400311240
ALRS,2024-11-30,436127520
ALRS,2024-12-31,380721119
ALRS,2025-01-31,418318320
ALRS,2025-02-28,403081560
ALRS,2025-03-31,388527620
ALRS,2025-04-30,418414360
ALRS,2025-05-31,532792590
ALRS,2025-06-30,535074900
ALT,2024-06-30,471647067
ALT,2024-07-31,452099245
ALT,2024-08-31,476268072
ALT,2024-09-30,437541772
ALT,2024-10-31,480298297
ALT,2024-11-30,610705698
ALT,2024-12-31,544699248
ALT,2025-01-31,501637033
ALT,2025-02-28,502392510
ALT,2025-03-31,377738730
ALT,2025-04-30,396625666
ALT,2025-05-31,410224260
