Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,$3.16,,0.0%,0.0%,$189.87,,0,210.0%,7.2,$1.14
ALE,ALLETE INC,Utilities,$64.07,4.6%,4.1%,287.0%,"$3,710.26",$20.09,1,44.7%,66.4,$58.84
ALEC,"Alector, Inc.",Healthcare,$1.47,,0.0%,0.0%,$145.99,,0,,6.8,$0.87
ALEX,"Alexander & Baldwin, Inc.",Real Estate,$17.98,5.0%,4.1%,0.0%,"$1,306.63",$21.08,1,,NaN,NaN
ALG,ALAMO GROUP INC,Industrials,$214.98,0.6%,0.4%,0.0%,"$2,599.82",$22.49,0,,220.0,$156.79
ALGT,Allegiant Travel CO,Industrials,$51.10,,0.9%,0.0%,$933.00,,,,NaN,NaN
ALHC,"Alignment Healthcare, Inc.",N/A,$14.38,,NaN,0.0%,"$2,848.94",,0,,NaN,NaN
ALIT,"Alight, Inc. / Delaware",N/A,$5.23,2.0%,0.3%,0.0%,"$2,809.69",,,,NaN,NaN
ALKS,Alkermes plc.,Healthcare,$29.41,,NaN,0.0%,"$4,836.55",$13.63,0,,NaN,NaN
ALKT,"ALKAMI TECHNOLOGY, INC.",N/A,$28.35,,NaN,0.0%,"$2,919.59",,0,,NaN,NaN
ALLO,"Allogene Therapeutics, Inc.",Healthcare,$1.29,,NaN,0.0%,$282.16,,0,,3.8,$0.86
ALMS,ALUMIS INC.,N/A,$3.10,,0.0%,0.0%,$163.76,,0,-254.8%,13.5,$2.93
ALNT,ALLIENT INC,N/A,$34.38,,0.3%,12.0%,$581.68,$59.23,0,140.3%,35.2,$16.85
ALRM,"Alarm.com Holdings, Inc.",Technology,$56.30,,0.0%,0.0%,"$2,801.47",$21.81,0,100.7%,72.0,$48.23
ALRS,ALERUS FINANCIAL CORP,Financial Services,$21.03,4.0%,3.4%,80.0%,$534.20,$21.66,1,83.5%,23.9,$15.78
ALT,"Altimmune, Inc.",Healthcare,$6.83,,0.0%,"87,300.0%",$549.91,,0,156.3%,11.2,$3.55
ALTG,ALTA EQUIPMENT GROUP INC.,Industrials,$5.96,4.0%,2.9%,23.0%,$198.15,,,178.3%,11.0,$3.50
ALTI,"AlTi Global, Inc.",N/A,$4.13,,0.0%,0.0%,$594.43,,0,69.6%,5.5,$2.33
ALX,ALEXANDERS INC,Real Estate,$228.33,8.0%,7.9%,"1,800.0%","$1,164.16",$29.36,2,73.9%,236.3,$176.89
ALXO,ALX ONCOLOGY HOLDINGS INC,N/A,$0.48,,0.0%,0.0%,$26.00,$5.39,0,164.8%,8.8,$0.41
AMAL,Amalgamated Financial Corp.,Financial Services,$29.86,2.0%,1.3%,0.0%,$916.49,$8.79,0,,NaN,NaN
AMBA,AMBARELLA INC,Technology,$52.85,,NaN,0.0%,"$2,242.43",,0,,NaN,NaN
AMBC,AMBAC FINANCIAL GROUP INC,Financial Services,$6.92,,NaN,0.0%,$321.28,,0,,NaN,NaN
AMBP,Ardagh Metal Packaging S.A.,N/A,$4.13,12.0%,7.1%,0.0%,"$2,468.50",,,,NaN,NaN
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",Communication Services,$3.03,,NaN,0.0%,"$1,308.09",,0,,NaN,NaN
AMCX,AMC Networks Inc.,Communication Services,$6.03,,NaN,0.0%,$270.91,,,,NaN,NaN
AMN,AMN HEALTHCARE SERVICES INC,Healthcare,$22.37,,NaN,0.0%,$855.66,,0,,NaN,NaN
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,$25.33,,NaN,0.0%,"$1,194.50",$8.43,0,41.7%,NaN,NaN
AMPL,"Amplitude, Inc.",N/A,$11.72,,0.0%,0.0%,"$1,535.32",,0,154.1%,14.9,$7.37
AMPS,"Altus Power, Inc.",N/A,$5.00,,0.0%,0.0%,$800.50,$605.06,,55.7%,NaN,NaN
AMPX,"Amprius Technologies, Inc.",N/A,$3.76,,0.0%,0.0%,$454.46,,0,190.5%,4.3,$0.61
AMPY,Amplify Energy Corp.,Energy,$3.72,,0.0%,50.0%,$149.65,$9.08,0,98.2%,8.2,$2.27
AMR,"Alpha Metallurgical Resources, Inc.",N/A,$115.85,,0.6%,236.0%,"$1,510.33",$56.70,0,89.5%,334.7,$100.00
AMRC,"Ameresco, Inc.",Industrials,$16.09,,0.0%,0.0%,$846.92,$15.62,0,155.4%,39.7,$8.49
AMRK,"A-Mark Precious Metals, Inc.",Financial Services,$21.25,4.0%,6.6%,80.0%,$524.51,$13.83,1,101.5%,46.4,$19.39
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,$7.95,,0.0%,0.0%,"$2,488.55",,1,115.7%,9.5,$6.29
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,Industrials,$30.86,,NaN,0.0%,"$1,217.87",$201.87,0,,NaN,NaN
AMSF,AMERISAFE INC,Financial Services,$43.81,3.6%,7.1%,0.0%,$835.17,$17.60,2,,55.9,$38.91
AMTB,Amerant Bancorp Inc.,Financial Services,$16.57,2.0%,1.5%,0.0%,$693.52,,,,26.5,$16.13
AMTX,"AEMETIS, INC",Energy,$2.14,,NaN,0.0%,$118.49,,0,,NaN,NaN
AMWD,AMERICAN WOODMARK CORP,Consumer Cyclical,$50.30,,NaN,0.0%,$745.74,$7.41,0,,NaN,NaN
ANAB,"ANAPTYSBIO, INC",Healthcare,$23.34,,NaN,0.0%,$687.21,,0,,NaN,NaN
ANDE,"Andersons, Inc.",Consumer Defensive,$36.89,2.1%,2.1%,0.0%,"$1,260.85",$11.60,1,,54.8,$31.03
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,$75.85,,NaN,0.0%,"$3,613.27",$6.78,0,,NaN,NaN
ANGO,ANGIODYNAMICS INC,Healthcare,$10.23,,NaN,0.0%,$415.41,,0,28.6%,13.5,$5.47
ANIK,"Anika Therapeutics, Inc.",Healthcare,$11.07,,0.0%,0.0%,$159.19,,0,70.3%,29.1,$10.85
ANIP,ANI PHARMACEUTICALS INC,Healthcare,$64.64,,0.0%,0.0%,"$1,400.66",,,74.2%,77.0,$52.50
ANNX,"Annexon, Inc.",N/A,$2.38,,0.0%,0.0%,$346.92,,0,188.2%,7.9,$1.29
ANRO,"Alto Neuroscience, Inc.",N/A,$2.26,,0.0%,0.0%,$61.45,,0,191.4%,17.6,$1.60
AOMR,"Angel Oak Mortgage REIT, Inc.",N/A,$9.07,14.0%,12.1%,128.0%,$213.15,$5.85,1,101.8%,11.7,$7.12
AORT,"ARTIVION, INC.",N/A,$29.69,,0.0%,12.0%,"$1,268.27",,0,134.6%,32.3,$21.97
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,Technology,$24.40,,0.0%,0.0%,$726.14,,0,184.1%,53.3,$15.90
APAM,Artisan Partners Asset Management Inc.,Financial Services,$42.20,7.2%,7.5%,355.0%,"$3,403.18",$13.02,1,146.4%,47.3,$32.25
APEI,AMERICAN PUBLIC EDUCATION INC,Consumer Defensive,$29.24,,NaN,0.0%,$528.02,$28.48,0,,NaN,NaN
APGE,"Apogee Therapeutics, Inc.",N/A,$41.15,,NaN,0.0%,"$2,451.61",,0,,NaN,NaN
APLD,Applied Digital Corp.,Industrials,$10.66,,NaN,0.0%,"$2,360.24",,0,,NaN,NaN
APLE,"Apple Hospitality REIT, Inc.",Real Estate,$11.58,8.3%,5.3%,0.0%,"$2,755.05",$14.41,1,,NaN,NaN
APLT,"Applied Therapeutics, Inc.",Healthcare,$0.35,,NaN,0.0%,$49.62,,0,,NaN,NaN
APOG,"APOGEE ENTERPRISES, INC.",Industrials,$37.53,2.8%,2.3%,0.0%,$804.94,$9.46,0,,87.0,$37.53
APPN,APPIAN CORP,Technology,$30.11,,NaN,0.0%,"$2,235.75",,0,,43.3,$24.00
APPS,"Digital Turbine, Inc.",Technology,$6.71,,NaN,0.0%,$721.06,,,,NaN,NaN
AQST,"Aquestive Therapeutics, Inc.",Healthcare,$3.41,,NaN,0.0%,$337.71,,0,148.3%,5.8,$2.12
ARAY,ACCURAY INC,Healthcare,$1.24,,0.0%,0.0%,$126.71,,0,173.7%,3.0,$1.14
ARCB,ARCBEST CORP /DE/,Industrials,$68.24,1.0%,0.7%,48.0%,"$1,562.78",$8.71,0,129.7%,129.1,$55.08
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,$12.35,,0.0%,0.0%,$334.94,,0,199.7%,28.1,$8.04
ARDT,"Ardent Health Partners, Inc.",N/A,$12.93,,0.0%,0.0%,"$1,853.85",$8.25,0,32.6%,20.7,$11.31
ARDX,"ARDELYX, INC.",Healthcare,$3.64,,0.0%,0.0%,$863.71,,0,82.7%,8.1,$3.21
ARHS,"Arhaus, Inc.",N/A,$8.76,,1.1%,50.0%,"$1,231.76",$21.12,1,159.9%,19.0,$6.61
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,$9.81,11.0%,13.6%,0.0%,"$1,361.65",,17,,10.3,$7.70
ARIS,"Aris Water Solutions, Inc.",N/A,$25.53,2.0%,1.1%,0.0%,"$1,509.72",$54.22,0,,33.8,$13.06
ARKO,ARKO Corp.,N/A,$4.19,3.0%,1.9%,0.0%,$478.61,$158.85,2,,NaN,NaN
ARL,AMERICAN REALTY INVESTORS INC,Real Estate,$14.45,,NaN,0.0%,$246.16,,0,,NaN,NaN
ARLO,"Arlo Technologies, Inc.",Industrials,$17.24,,NaN,0.0%,"$1,781.60",,0,,17.7,$7.84
AROC,"Archrock, Inc.",Energy,$24.96,3.0%,2.5%,0.0%,"$4,413.16",$21.79,1,,NaN,NaN
AROW,ARROW FINANCIAL CORP,Financial Services,$24.91,4.5%,4.4%,0.0%,$415.72,$14.66,1,,NaN,NaN
ARQ,"Arq, Inc.",N/A,$4.97,,NaN,0.0%,$211.80,,0,,NaN,NaN
ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,$13.66,,NaN,0.0%,"$1,629.49",,0,,17.8,$7.86
ARR,"Armour Residential REIT, Inc.",Real Estate,$16.56,17.4%,30.3%,0.0%,"$1,354.59",,,,19.0,$12.59
ARRY,"Array Technologies, Inc.",N/A,$7.54,,NaN,0.0%,"$1,150.20",,0,179.9%,NaN,NaN
ARTV,"Artiva Biotherapeutics, Inc.",N/A,$1.68,,0.0%,0.0%,$40.93,,0,63.9%,17.3,$1.67
ARVN,"ARVINAS, INC.",Healthcare,$7.47,,0.0%,0.0%,$545.25,,0,166.3%,34.1,$5.90
ARWR,"ARROWHEAD PHARMACEUTICALS, INC.",Healthcare,$15.62,,0.0%,0.0%,"$2,157.13",,0,190.5%,30.4,$9.57
ASAN,"Asana, Inc.",N/A,$13.29,,0.0%,0.0%,"$3,127.43",,0,220.0%,27.8,$11.05
