Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
CORZ,"Core Scientific, Inc./tx",N/A,$11.90,,0.0%,0.0%,"$3,544.08",,0,249.2%,18.6,$6.20
COUR,"Coursera, Inc.",N/A,$8.26,,0.0%,0.0%,"$1,333.16",,0,109.4%,11.7,$5.76
CPF,CENTRAL PACIFIC FINANCIAL CORP,Financial Services,$26.01,4.0%,3.6%,106.0%,$701.91,$12.05,0,84.2%,32.4,$19.17
CPK,CHESAPEAKE UTILITIES CORP,Utilities,$120.92,2.3%,2.5%,261.0%,"$2,784.50",$22.58,0,286.6%,136.0,$100.49
CPRX,"CATALYST PHARMACEUTICALS, INC.",Healthcare,$22.70,,0.0%,0.0%,"$2,782.25",$14.10,0,90.8%,26.6,$14.75
CPS,Cooper-Standard Holdings Inc.,Consumer Cyclical,$20.97,,0.0%,0.0%,$368.16,,0,234.3%,26.7,$10.38
CPSS,"CONSUMER PORTFOLIO SERVICES, INC.",Financial Services,$9.73,,0.0%,0.0%,$207.84,$10.76,0,128.0%,12.7,$7.99
CRAI,"CRA INTERNATIONAL, INC.",Industrials,$181.80,1.1%,0.7%,0.0%,"$1,240.92",$26.60,0,,212.9,$132.17
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,$8.57,,NaN,0.0%,$101.69,,0,,61.9,$4.64
CRBU,"Caribou Biosciences, Inc.",N/A,$1.25,,NaN,0.0%,$119.05,,0,,3.0,$0.66
CRC,California Resources Corp,Energy,$46.04,3.0%,1.9%,0.0%,"$3,383.34",$6.75,0,,58.9,$30.69
CRCT,"Cricut, Inc.",N/A,$6.59,9.0%,6.2%,0.0%,"$1,397.74",$22.25,2,,6.9,$3.94
CRDA,Croda International Plc,N/A,$10.20,3.0%,2.4%,0.0%,$501.95,$16.49,0,79.5%,NaN,NaN
CRDF,"Cardiff Oncology, Inc.",N/A,$3.02,,0.0%,0.0%,$200.91,,0,147.6%,5.6,$2.01
CRDO,Credo Technology Group Holding Ltd,N/A,$86.75,,0.0%,0.0%,"$14,533.29","$2,839.64",0,247.1%,86.8,$22.50
CRGX,"CARGO Therapeutics, Inc.",N/A,$4.35,,0.0%,0.0%,$200.59,,0,133.1%,25.5,$3.00
CRGY,Crescent Energy Co,N/A,$9.65,5.0%,4.4%,48.0%,"$2,429.95",,,116.4%,16.5,$6.74
CRK,COMSTOCK RESOURCES INC,Energy,$30.78,,0.5%,50.0%,"$9,004.29",,,106.3%,30.9,$7.74
CRMD,CorMedix Inc.,Healthcare,$13.57,,0.0%,0.0%,$936.69,$54.52,0,175.5%,15.4,$3.61
CRMT,AMERICAS CARMART INC,Consumer Cyclical,$48.99,,0.0%,0.0%,$403.84,$26.50,0,158.9%,72.3,$36.40
CRNC,Cerence Inc.,Technology,$8.45,,0.0%,0.0%,$365.10,,0,185.0%,27.5,$2.34
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,$30.52,,0.0%,0.0%,"$1,644.22",,0,110.9%,62.5,$24.10
CRS,CARPENTER TECHNOLOGY CORP,Industrials,$250.90,,0.3%,80.0%,"$12,493.12",$34.91,0,146.3%,256.5,$95.24
CRSR,"Corsair Gaming, Inc.",N/A,$9.30,,0.0%,0.0%,$974.61,,,179.7%,13.0,$5.60
CRVL,CORVEL CORP,Financial Services,$102.65,,0.0%,0.0%,"$5,263.45",$55.31,0,76.5%,128.6,$81.46
CRVO,CervoMed Inc.,N/A,$6.92,,0.0%,0.0%,$60.83,,0,,22.6,$1.80
CSGS,CSG SYSTEMS INTERNATIONAL INC,Technology,$63.34,2.0%,1.7%,0.0%,"$1,836.85",$21.99,0,,67.2,$38.94
CSR,CENTERSPACE,N/A,$62.40,4.9%,4.6%,0.0%,"$1,046.77",,,,74.2,$54.13
CSTE,Caesarstone Ltd.,Industrials,$2.07,,NaN,0.0%,$71.52,,0,,NaN,NaN
CSTL,CASTLE BIOSCIENCES INC,Healthcare,$18.92,,0.0%,0.0%,$545.98,,0,143.8%,35.8,$15.45
CSTM,CONSTELLIUM SE,Basic Materials,$12.98,,0.0%,0.0%,"$1,855.08",$25.76,0,123.1%,20.7,$7.33
CSV,CARRIAGE SERVICES INC,Consumer Cyclical,$44.42,1.0%,1.0%,45.0%,$697.08,$15.54,0,60.8%,46.2,$25.53
CSWI,CSW Industrials Inc.,Industrials,$281.55,0.4%,0.2%,0.0%,,,,13.9%,NaN,NaN
CTBI,COMMUNITY TRUST BANCORP INC /KY/,Financial Services,$50.15,3.7%,3.3%,188.0%,$909.53,$10.56,0,59.2%,60.1,$39.26
CTGO,"Contango ORE, Inc.",Basic Materials,$21.34,,0.0%,0.0%,$267.39,,0,47.2%,24.0,$8.85
CTKB,"Cytek Biosciences, Inc.",N/A,$3.07,,0.0%,0.0%,$388.84,,0,144.0%,7.6,$2.37
CTLP,"CANTALOUPE, INC.",N/A,$10.95,,0.0%,0.0%,$802.18,$13.52,0,79.2%,11.4,$5.82
CTNM,"Contineum Therapeutics, Inc.",N/A,$3.72,,0.0%,0.0%,$94.43,,0,59.4%,22.0,$3.35
CTO,"CTO Realty Growth, Inc.",Real Estate,$18.06,8.0%,11.6%,152.0%,$595.13,,,59.6%,20.1,$15.72
CTOS,"Custom Truck One Source, Inc.",N/A,$4.74,,0.0%,0.0%,"$1,073.50",,0,146.0%,6.1,$3.03
CTRE,"CareTrust REIT, Inc.",Real Estate,$29.88,4.5%,3.8%,120.0%,"$5,727.67",$35.33,1,51.0%,32.4,$23.31
CTRI,"Centuri Holdings, Inc.",N/A,$20.76,,0.0%,0.0%,"$1,837.60","$4,628.71",0,,26.8,$14.46
CTRN,Citi Trends Inc,Consumer Cyclical,$29.14,,NaN,0.0%,$242.44,,0,,34.6,$13.66
CTS,CTS CORP,Technology,$41.37,,0.4%,0.0%,"$1,234.94",$20.46,0,,59.6,$34.02
CUBI,"Customers Bancorp, Inc.",Financial Services,$51.46,,NaN,0.0%,"$1,624.88",$12.50,0,,68.5,$40.75
CURB,Curbline Properties Corp.,N/A,$22.61,,0.4%,0.0%,"$2,377.86",$185.23,0,,25.3,$19.67
CURV,Torrid Holdings Inc.,N/A,$5.13,,NaN,0.0%,$537.71,$53.96,0,,NaN,NaN
CVBF,CVB FINANCIAL CORP,Financial Services,$18.37,4.0%,4.1%,80.0%,"$2,531.47",$14.19,1,76.1%,24.1,$15.55
CVCO,CAVCO INDUSTRIES INC.,Consumer Cyclical,$399.83,,0.0%,0.0%,"$3,212.62",$18.78,0,126.4%,550.0,$331.08
CVGI,"Commercial Vehicle Group, Inc.",Consumer Cyclical,$1.32,,0.0%,0.0%,$46.07,,0,131.2%,5.7,$0.81
CVGW,CALAVO GROWERS INC,Consumer Defensive,$27.31,3.0%,2.8%,70.0%,$486.60,$46.82,1,79.3%,29.5,$19.82
CVI,CVR ENERGY INC,Energy,$27.40,7.0%,8.0%,200.0%,"$2,755.54",,,132.1%,29.3,$15.10
CVLG,"COVENANT LOGISTICS GROUP, INC.",N/A,$22.85,1.0%,0.6%,25.0%,$606.54,$15.75,0,105.7%,30.5,$17.41
CVLT,COMMVAULT SYSTEMS INC,Technology,$180.41,,0.0%,0.0%,"$7,950.08",$104.46,0,103.5%,192.0,$117.81
CVRX,"CVRx, Inc.",N/A,$5.83,,0.0%,0.0%,$152.00,,0,157.9%,18.6,$4.30
CWAN,"Clearwater Analytics Holdings, Inc.",N/A,$22.00,,0.0%,0.0%,"$6,175.59",$14.40,0,91.9%,35.7,$17.63
CWBC,Community West Bancshares,Financial Services,$18.18,3.0%,2.6%,48.0%,$345.12,$28.10,1,81.4%,22.6,$15.46
CWCO,Consolidated Water Co. Ltd.,Utilities,$29.30,1.0%,1.3%,42.0%,$466.68,$17.57,0,66.6%,29.5,$22.69
CWH,"Camping World Holdings, Inc.",Consumer Cyclical,$17.89,3.0%,7.9%,50.0%,"$1,828.49",,,171.3%,25.5,$11.10
CWK,Cushman & Wakefield plc,Real Estate,$10.39,,0.0%,0.0%,"$2,405.39",$14.85,0,162.4%,16.1,$7.64
CWST,CASELLA WASTE SYSTEMS INC,Industrials,$117.58,,0.0%,0.0%,"$7,456.32",$580.57,0,,121.2,$91.01
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,$46.07,2.6%,2.2%,0.0%,"$2,744.99",$20.45,1,,55.2,$41.06
CXM,"Sprinklr, Inc.",N/A,$8.05,,NaN,0.0%,"$2,083.64",$19.04,0,,10.3,$6.75
CXW,"CoreCivic, Inc.",Real Estate,$20.65,,NaN,0.0%,"$2,254.12",$26.70,0,,25.0,$11.23
CYH,COMMUNITY HEALTH SYSTEMS INC,Healthcare,$3.31,,NaN,0.0%,$464.41,,,,6.3,$2.24
CYRX,"Cryoport, Inc.",Industrials,$6.78,,0.0%,0.0%,$339.93,,0,187.0%,9.9,$4.58
CYTK,CYTOKINETICS INC,Healthcare,$32.73,,0.0%,0.0%,"$3,908.86",,0,87.7%,61.4,$29.31
CZFS,CITIZENS FINANCIAL SERVICES INC,Financial Services,$57.18,3.0%,2.0%,197.0%,$272.16,$9.58,0,74.3%,73.6,$37.83
CZNC,CITIZENS & NORTHERN CORP,Financial Services,$18.55,6.0%,6.1%,112.0%,$287.58,$10.67,1,50.1%,22.1,$15.78
DAKT,DAKTRONICS INC /SD/,Technology,$14.23,,0.0%,20.0%,$709.98,$389.67,0,106.4%,19.9,$10.24
DAN,DANA INC,Consumer Cyclical,$17.35,2.0%,2.3%,40.0%,"$2,530.03",,,174.2%,18.0,$7.40
DAVE,Dave Inc./DE,N/A,$200.88,,0.0%,0.0%,"$2,679.83",$51.10,0,188.1%,243.3,$28.31
DAWN,"Day One Biopharmaceuticals, Inc.",N/A,$6.41,,0.0%,0.0%,$649.73,,0,18.5%,16.8,$6.08
DBD,Diebold Nixdorf Inc.,Technology,$51.86,,0.0%,0.0%,"$1,930.64",,,94.9%,52.3,$34.38
DBI,Designer Brands Inc.,Consumer Cyclical,$2.28,9.0%,3.9%,20.0%,$111.32,,,134.1%,8.1,$2.18
DBRG,"DigitalBridge Group, Inc.",N/A,$10.09,,0.2%,4.0%,"$1,776.76",$32.13,0,201.7%,17.3,$6.41
DC,Dakota Gold Corp.,N/A,$3.87,,0.0%,0.0%,$283.93,,0,81.5%,4.1,$1.84
DCGO,DocGo Inc.,N/A,$1.62,,0.0%,0.0%,$160.55,,0,,5.7,$1.23
DCO,DUCOMMUN INC /DE/,Industrials,$79.97,,NaN,0.0%,"$1,189.92",$33.85,0,,81.1,$51.76
DCOM,"Dime Community Bancshares, Inc. /NY/",Financial Services,$26.12,4.0%,3.8%,0.0%,"$1,144.10",$44.75,1,,36.9,$17.54
DDD,3D SYSTEMS CORP,Technology,$1.50,,NaN,0.0%,$200.53,,0,,5.0,$1.46
DEA,"Easterly Government Properties, Inc.",Real Estate,$22.88,7.9%,12.6%,0.0%,"$1,027.43",$56.91,6,,34.0,$18.92
DEC,Diversified Energy Co PLC,N/A,$15.09,,NaN,0.0%,$0.00,,,,NaN,NaN
DEI,Douglas Emmett Inc,Real Estate,$14.81,5.0%,6.6%,76.0%,"$2,478.21",$45.55,3,107.7%,20.1,$12.39
DENN,DENNY'S Corp,Consumer Cyclical,$4.25,,0.0%,0.0%,$217.82,$12.66,0,108.2%,7.7,$2.85
DESP,"Despegar.com, Corp.",Consumer Cyclical,$19.50,,0.0%,0.0%,"$1,629.66",$58.40,1,109.0%,NaN,NaN
DFH,"Dream Finders Homes, Inc.",N/A,$22.12,,0.0%,0.0%,"$2,067.54",$6.16,0,147.3%,39.2,$19.65
DFIN,"Donnelley Financial Solutions, Inc.",Financial Services,$60.20,,0.0%,0.0%,"$1,665.79",$18.49,0,122.0%,71.0,$37.80
DGICA,DONEGAL GROUP INC,Financial Services,$19.08,3.8%,3.3%,70.0%,$684.39,$9.76,0,21.4%,21.1,$11.73
DGII,DIGI INTERNATIONAL INC,Technology,$33.15,,0.0%,0.0%,"$1,234.69",$29.30,0,120.1%,37.1,$20.17
DH,Definitive Healthcare Corp.,N/A,$3.80,,0.0%,0.0%,$407.90,,0,172.1%,6.2,$2.15
DHC,DIVERSIFIED HEALTHCARE TRUST,Real Estate,$3.65,1.0%,1.3%,4.0%,$890.22,,,128.7%,4.2,$1.99
DHIL,DIAMOND HILL INVESTMENT GROUP INC,Financial Services,$139.13,4.0%,7.6%,600.0%,$377.35,$9.31,0,57.9%,169.3,$121.02
DHT,"DHT Holdings, Inc.",Energy,$11.98,7.0%,6.0%,81.0%,"$1,916.60",$5.28,0,52.8%,12.3,$8.43
DIBS,"1stdibs.com, Inc.",N/A,$2.69,,0.0%,0.0%,$96.35,,0,76.8%,5.0,$2.30
DIN,"Dine Brands Global, Inc.",Consumer Cyclical,$26.81,8.0%,5.8%,204.0%,$418.77,$9.10,,78.7%,37.1,$18.63
DIOD,DIODES INC /DEL/,Technology,$50.33,,NaN,0.0%,"$2,335.38",$91.41,0,,86.7,$32.93
DJCO,DAILY JOURNAL CORP,Communication Services,$392.26,,NaN,0.0%,$540.47,$6.92,0,,602.0,$359.34
DK,"Delek US Holdings, Inc.",Energy,$21.33,5.0%,3.5%,0.0%,"$1,296.53",,,,24.2,$10.84
DLHC,DLH Holdings Corp.,Industrials,$5.47,,NaN,0.0%,$78.69,$14.50,0,,NaN,NaN
DLX,DELUXE CORP,Communication Services,$14.74,8.0%,8.5%,0.0%,$659.91,$11.78,1,,23.5,$13.44
DMRC,Digimarc CORP,Technology,$12.82,,0.0%,55.0%,$276.30,,0,162.3%,48.3,$10.44
DNLI,Denali Therapeutics Inc.,Healthcare,$14.08,,0.0%,0.0%,"$2,046.94",,0,184.2%,33.3,$10.57
DNOW,DNOW Inc.,Energy,$14.99,,0.0%,0.0%,"$1,583.52",$19.31,0,107.8%,18.5,$11.42
DNTH,"Dianthus Therapeutics, Inc. /DE/",N/A,$17.45,,0.0%,0.0%,$560.87,,0,80.1%,32.3,$13.37
DNUT,"Krispy Kreme, Inc.",N/A,$2.67,5.0%,3.7%,14.0%,$456.04,,,107.9%,12.5,$2.58
DOCN,"DigitalOcean Holdings, Inc.",N/A,$27.82,,0.0%,0.0%,"$2,531.64",$23.32,0,190.8%,47.0,$25.45
DOLE,Dole plc,N/A,$13.86,2.0%,1.6%,33.0%,"$1,317.26",$10.50,0,54.7%,16.8,$11.62
DOMO,"DOMO, INC.",Technology,$12.62,,0.0%,0.0%,$508.17,,0,227.3%,14.8,$6.01
DORM,"Dorman Products, Inc.",Consumer Cyclical,$121.86,,0.0%,150.0%,"$3,715.96",$17.54,0,69.5%,146.6,$87.05
DRH,DiamondRock Hospitality Co,Real Estate,$7.63,5.0%,1.5%,37.0%,"$1,574.15",$37.70,1,119.8%,9.7,$6.19
DRS,"Leonardo DRS, Inc.",N/A,$44.75,,0.1%,18.0%,"$11,770.02",$50.30,0,79.3%,47.0,$22.61
DRVN,Driven Brands Holdings Inc.,N/A,$17.06,,0.0%,0.0%,"$2,802.54",,0,118.6%,18.7,$11.45
DSGN,"Design Therapeutics, Inc.",N/A,$4.44,,0.0%,0.0%,$215.15,,0,163.2%,7.8,$2.60
DSGR,"Distribution Solutions Group, Inc.",N/A,$26.75,,0.0%,24.0%,"$1,241.76",,0,87.1%,41.5,$21.87
DSP,Viant Technology Inc.,N/A,$13.08,,0.0%,0.0%,$817.75,$385.91,0,130.2%,26.3,$8.70
DTC,"Solo Brands, Inc.",N/A,$0.26,,0.0%,0.0%,,,,185.4%,NaN,NaN
DTI,Drilling Tools International Corp,N/A,$3.44,,NaN,0.0%,$122.44,,0,70.5%,6.4,$1.43
DVAX,DYNAVAX TECHNOLOGIES CORP,Healthcare,$10.29,,0.0%,0.0%,"$1,236.83",,0,73.4%,14.6,$9.22
DX,DYNEX CAPITAL INC,Real Estate,$12.24,16.7%,13.3%,176.0%,"$1,286.10",$20.41,2,99.8%,13.9,$10.19
DXLG,"DESTINATION XL GROUP, INC.",Consumer Cyclical,$1.02,,0.0%,0.0%,$55.43,,0,75.8%,3.9,$0.90
DXPE,DXP ENTERPRISES INC,Industrials,$78.76,,0.0%,0.0%,"$1,234.67",$15.50,0,105.7%,107.1,$43.25
DY,DYCOM INDUSTRIES INC,Industrials,$232.78,,0.0%,0.0%,"$6,734.57",$29.04,0,95.9%,243.4,$131.37
DYN,"Dyne Therapeutics, Inc.",N/A,$10.79,,0.0%,0.0%,"$1,225.33",,0,163.2%,47.5,$6.36
EAF,GRAFTECH INTERNATIONAL LTD,Industrials,$1.24,,2.4%,4.0%,$317.48,,0,165.4%,2.5,$0.52
EAT,"BRINKER INTERNATIONAL, INC",Consumer Cyclical,$179.18,,0.0%,152.0%,"$7,926.09",$23.77,0,122.5%,192.2,$56.27
EB,"Eventbrite, Inc.",Technology,$2.53,,0.0%,0.0%,$241.64,,0,114.9%,5.9,$1.81
EBC,"Eastern Bankshares, Inc.",N/A,$14.32,3.6%,2.2%,48.0%,"$3,022.81",,,81.4%,19.0,$12.49
EBF,"ENNIS, INC.",Industrials,$18.50,5.4%,8.0%,350.0%,$481.98,$11.98,2,48.1%,22.3,$17.15
EBTC,ENTERPRISE BANCORP INC /MA/,Financial Services,$38.59,2.6%,2.2%,98.0%,$483.95,$11.90,0,75.8%,43.9,$21.99
ECPG,ENCORE CAPITAL GROUP INC,Financial Services,$38.42,,0.0%,0.0%,$892.41,,0,95.6%,51.8,$26.45
ECVT,Ecovyst Inc.,N/A,$7.99,,13.5%,500.0%,$939.20,,0,103.1%,9.9,$5.24
EDIT,"Editas Medicine, Inc.",Healthcare,$2.39,,0.0%,0.0%,$196.73,,0,201.1%,6.1,$0.91
EE,"Excelerate Energy, Inc.",Utilities,$29.50,1.0%,0.3%,20.0%,"$3,366.96",$88.74,0,82.6%,32.9,$17.25
EEX,"Emerald Holding, Inc.",Communication Services,$4.84,1.0%,0.3%,6.0%,$962.48,$213.88,1,111.3%,6.7,$3.20
EFC,Ellington Financial Inc.,Financial Services,$12.80,12.2%,12.7%,156.0%,"$1,209.77",$9.87,1,100.5%,14.0,$10.52
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financial Services,$52.82,2.3%,1.7%,0.0%,"$1,948.20",$10.20,0,,62.1,$37.11
EGAN,EGAIN Corp,Technology,$6.15,,0.0%,0.0%,$169.03,$58.39,0,68.9%,7.6,$4.34
EGBN,EAGLE BANCORP INC,Financial Services,$16.91,6.0%,8.3%,95.0%,$514.59,,,72.1%,30.5,$16.01
EGHT,8X8 INC /DE/,Technology,$1.83,,0.0%,0.0%,$247.44,,0,213.3%,3.5,$1.51
EGY,VAALCO ENERGY INC /DE/,Energy,$3.92,6.0%,5.0%,25.0%,$406.97,$6.95,0,90.0%,7.0,$2.94
EHAB,"Enhabit, Inc.",N/A,$9.34,,0.0%,0.0%,$472.95,,,64.9%,10.9,$6.85
EIG,"Employers Holdings, Inc.",Financial Services,$46.35,3.0%,3.2%,122.0%,"$1,115.00",$10.81,0,40.6%,53.5,$40.47
ELEV,"Elevation Oncology, Inc.",N/A,$0.38,,0.0%,0.0%,$22.80,,0,121.7%,3.3,$0.22
ELME,Elme Communities,N/A,$15.90,,5.2%,72.0%,"$1,401.72",,,65.9%,17.7,$13.80
ELVN,"Enliven Therapeutics, Inc.",N/A,$21.29,,0.0%,0.0%,"$1,058.42",,0,-11.5%,30.0,$13.30
EMBC,Embecta Corp.,N/A,$9.73,6.0%,3.4%,60.0%,$569.23,$10.78,1,63.4%,20.8,$9.49
EML,EASTERN CO,Industrials,$23.42,2.0%,1.9%,44.0%,$143.96,,,102.5%,34.6,$18.97
ENFN,"Enfusion, Inc.",N/A,$10.77,,0.0%,0.0%,"$2,776.10",$983.39,0,103.0%,NaN,NaN
ENR,"ENERGIZER HOLDINGS, INC.",Industrials,$20.00,6.0%,5.2%,120.0%,"$1,443.13",$26.53,2,69.8%,38.6,$19.97
ENS,EnerSys,Industrials,$83.60,1.0%,0.9%,96.0%,"$3,276.02",$9.01,0,122.7%,111.4,$76.36
ENSG,"ENSIGN GROUP, INC",Healthcare,$157.55,0.2%,0.2%,24.0%,"$8,989.50",$29.05,0,50.9%,158.3,$118.73
ENTA,ENANTA PHARMACEUTICALS INC,Healthcare,$7.22,,0.0%,0.0%,$154.55,,0,134.7%,17.2,$4.09
ENVA,"Enova International, Inc.",Financial Services,$97.73,,0.0%,0.0%,"$2,477.32",$10.59,0,138.4%,117.6,$59.48
ENVX,Enovix Corp,N/A,$8.57,,0.0%,0.0%,"$1,632.03",,0,,18.7,$5.27
EOLS,"Evolus, Inc.",Healthcare,$9.30,,0.0%,0.0%,$599.62,,0,112.3%,17.8,$8.67
EP,EMPIRE PETROLEUM CORP,N/A,$5.75,,0.0%,0.0%,$193.89,,0,86.3%,8.1,$3.76
EPAC,ENERPAC TOOL GROUP CORP,Industrials,$41.93,,0.1%,4.0%,"$2,267.78",$26.81,0,95.4%,51.9,$35.15
EPC,EDGEWELL PERSONAL CARE Co,Consumer Defensive,$23.02,3.0%,2.0%,60.0%,"$1,081.68",$12.77,0,75.2%,40.8,$22.63
EPM,EVOLUTION PETROLEUM CORP,Energy,$5.04,10.0%,8.0%,48.0%,$172.22,,,60.3%,5.7,$3.96
EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",Real Estate,$32.65,3.7%,3.3%,117.0%,"$6,446.80",$30.39,1,69.0%,34.2,$25.76
EQBK,EQUITY BANCSHARES INC,Financial Services,$38.75,1.0%,0.9%,57.0%,$677.85,$10.66,0,69.5%,50.5,$32.37
ERAS,"Erasca, Inc.",N/A,$1.41,,0.0%,0.0%,$396.60,,0,207.5%,3.5,$1.01
ERII,"Energy Recovery, Inc.",Industrials,$12.18,,0.0%,0.0%,$663.80,$30.98,0,149.4%,20.3,$10.86
ESCA,ESCALADE INC,Consumer Cyclical,$13.80,4.0%,3.8%,60.0%,$190.26,$13.76,1,59.5%,16.8,$12.02
ESE,ESCO TECHNOLOGIES INC,Technology,$182.17,,0.2%,32.0%,"$4,708.06",$39.90,0,105.0%,187.8,$101.16
ESGR,Enstar Group LTD,Financial Services,$336.58,,0.0%,300.0%,"$5,017.99",$10.65,0,41.0%,348.5,$298.94
ESNT,Essent Group Ltd.,Financial Services,$59.08,2.1%,1.6%,118.0%,"$5,990.80",$8.28,0,81.9%,64.3,$51.34
ESPR,"Esperion Therapeutics, Inc.",Healthcare,$1.10,,0.0%,0.0%,$218.02,,0,152.5%,3.9,$0.69
ESQ,"Esquire Financial Holdings, Inc.",Financial Services,$89.46,1.0%,0.4%,65.0%,$757.05,$16.82,0,57.2%,93.2,$44.16
ESRT,"Empire State Realty Trust, Inc.",Real Estate,$8.59,2.0%,1.7%,14.0%,"$1,443.93",$28.31,0,105.7%,11.5,$6.53
ESSA,"ESSA Bancorp, Inc.",Financial Services,$18.36,3.0%,3.0%,60.0%,$186.64,$10.98,0,37.4%,21.9,$15.67
ETD,ETHAN ALLEN INTERIORS INC,N/A,$27.25,5.7%,5.6%,196.0%,$692.97,$8.92,1,83.9%,33.3,$24.19
ETNB,"89bio, Inc.",Healthcare,$10.00,,NaN,0.0%,"$1,459.84",,0,132.4%,11.8,$4.16
ETWO,"E2open Parent Holdings, Inc.",N/A,$3.24,,0.0%,0.0%,"$1,001.84",,0,153.3%,4.8,$1.75
EU,enCore Energy Corp.,N/A,$2.44,,0.0%,0.0%,$454.48,,0,"1,182.4%",4.5,$1.01
EVC,ENTRAVISION COMMUNICATIONS CORP,Communication Services,$2.32,9.0%,7.2%,20.0%,$211.97,,,116.4%,2.7,$1.50
EVCM,EverCommerce Inc.,N/A,$9.70,,0.0%,0.0%,"$1,770.65",,0,101.3%,12.4,$8.10
EVER,"EverQuote, Inc.",Communication Services,$24.50,,0.0%,0.0%,$886.56,$23.18,0,103.5%,30.0,$16.63
EVEX,"Eve Holding, Inc.",N/A,$5.31,,0.0%,0.0%,"$1,577.51",,0,89.6%,6.1,$2.33
EVGO,EVgo Inc.,N/A,$4.33,,0.0%,0.0%,"$1,329.17",,0,187.8%,9.1,$1.95
EVH,"Evolent Health, Inc.",Healthcare,$8.65,,0.0%,0.0%,"$1,015.51",,,52.4%,33.6,$7.06
EVI,"EVI INDUSTRIES, INC.",Industrials,$18.71,3.0%,0.6%,59.0%,,,1,69.0%,21.8,$14.28
EVLV,"Evolv Technologies Holdings, Inc.",N/A,$5.53,,0.0%,0.0%,$906.90,,0,219.0%,6.2,$2.04
EVRI,Everi Holdings Inc.,Consumer Cyclical,$14.23,,0.0%,0.0%,"$1,235.10",$85.86,0,69.5%,14.2,$7.86
EVTC,"EVERTEC, Inc.",Technology,$35.99,1.0%,0.6%,20.0%,"$2,288.83",$17.70,0,86.1%,38.6,$28.60
EWCZ,"European Wax Center, Inc.",N/A,$5.54,,12.8%,330.0%,$305.56,,,153.2%,11.0,$2.72
EWTX,"Edgewise Therapeutics, Inc.",N/A,$14.46,,0.0%,0.0%,"$1,522.25",,0,185.1%,38.1,$10.60
EXLS,"ExlService Holdings, Inc.",Technology,$45.22,,0.0%,0.0%,"$7,355.41",$34.04,0,104.6%,52.4,$28.98
EXPI,"EXP World Holdings, Inc.",Real Estate,$8.93,2.0%,1.9%,20.0%,"$1,393.03",,,167.5%,15.2,$6.86
EXPO,EXPONENT INC,Industrials,$75.09,1.6%,1.3%,116.0%,"$3,808.90",$36.10,1,,114.6,$73.08
EXTR,EXTREME NETWORKS INC,Technology,$16.59,,NaN,0.0%,"$2,209.25",,0,129.8%,19.2,$10.10
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,$23.01,,0.0%,0.0%,"$1,818.23",,0,113.5%,23.2,$9.56
EYPT,"EyePoint Pharmaceuticals, Inc.",Healthcare,$8.92,,0.0%,0.0%,$613.80,,0,183.2%,14.0,$3.91
FA,FIRST ADVANTAGE CORP,N/A,$17.40,,1.6%,150.0%,"$2,995.87",,,134.2%,20.8,$12.32
FARO,FARO TECHNOLOGIES INC,Technology,$43.77,,0.0%,0.0%,$841.72,,0,186.3%,43.9,$13.52
FATE,FATE THERAPEUTICS INC,Healthcare,$1.20,,0.0%,0.0%,$138.71,,0,259.8%,5.9,$0.66
FBIZ,"FIRST BUSINESS FINANCIAL SERVICES, INC.",Financial Services,$47.29,2.5%,1.8%,108.0%,$392.69,$8.59,0,68.5%,55.8,$32.83
FBK,FB Financial Corp,Financial Services,$42.86,1.8%,1.3%,72.0%,"$1,968.13",$15.44,0,91.6%,58.4,$35.71
FBLG,"FibroBiologics, Inc.",N/A,$0.72,,0.0%,0.0%,$27.47,,0,73.1%,6.7,$0.70
FBNC,FIRST BANCORP /NC/,Financial Services,$40.62,2.0%,2.0%,88.0%,"$1,682.49",$19.26,0,83.4%,49.8,$28.86
FBP,FIRST BANCORP /PR/,Financial Services,$19.51,3.7%,2.3%,68.0%,"$3,153.31",$10.43,0,96.5%,21.8,$16.25
FBRT,"Franklin BSP Realty Trust, Inc.",N/A,$10.80,13.0%,8.9%,142.0%,$887.10,$10.56,2,76.7%,13.2,$10.50
FC,FRANKLIN COVEY CO,Industrials,$22.26,,0.0%,0.0%,$289.11,$16.20,0,83.0%,44.5,$18.94
FCBC,FIRST COMMUNITY BANKSHARES INC /VA/,Financial Services,$37.44,3.3%,4.1%,331.0%,$682.18,$13.49,1,62.5%,45.7,$30.88
FCEL,FUELCELL ENERGY INC,Industrials,$6.22,,0.0%,0.0%,$138.57,,,140.9%,23.4,$3.58
FCF,FIRST COMMONWEALTH FINANCIAL CORP /PA/,Financial Services,$15.36,3.5%,3.1%,53.0%,"$1,612.91",$11.71,0,82.3%,19.6,$12.66
