date,ticker,d2c,shorts,volume
2022-06-30,AMC,2.51,101375089,40389287
2022-07-15,AMC,2.52,96155658,38218788
2022-07-29,AMC,2.87,95091742,33099933
2022-08-15,AMC,1.28,89152605,69383841
2022-08-31,AMC,1.81,102882941,56850037
2022-09-15,AMC,3.72,100011800,26913320
2022-09-30,AMC,3.89,98918241,25448389
2022-10-14,AMC,4.02,104360202,25956941
2022-10-31,AMC,5.23,101835976,19486818
2022-11-15,AMC,3.69,111534852,30217469
2022-11-30,AMC,4.45,100109744,22508104
2022-12-15,AMC,3.12,108487434,34743768
2022-12-30,AMC,4.08,113442490,27793689
2023-01-13,AMC,4.76,116364530,24449751
2023-01-31,AMC,3.49,118266052,33924264
2023-02-15,AMC,3.17,131637788,41570955
2023-02-28,AMC,2.0,125961266,62942093
2023-03-15,AMC,4.45,127209002,28580783
2023-03-31,AMC,5.0,138836691,27747225
2023-04-14,AMC,2.85,137465578,48170947
2023-04-28,AMC,7.58,134013830,17671690
2023-05-15,AMC,5.69,105904172,18627601
2023-05-31,AMC,8.77,116800869,13319845
2023-06-15,AMC,8.49,122085549,14378134
2023-06-30,AMC,7.33,148695965,20290947
2023-07-14,AMC,7.61,150001144,19705749
2023-07-31,AMC,2.5,137785569,55196616
2023-08-15,AMC,3.87,150955613,38997724
2023-08-31,AMC,1.08,23211862,21407327
2023-09-15,AMC,1.0,22146199,38128663
2023-09-29,AMC,1.0,17160338,17979417
2023-10-13,AMC,1.0,15402984,24433045
2023-10-31,AMC,1.12,18524828,16505451
2023-11-15,AMC,1.0,22796630,23444896
2023-11-30,AMC,1.24,22600273,18228674
2023-12-15,AMC,1.0,18302923,21354140
2023-12-29,AMC,1.28,23283624,18149342
2024-01-12,AMC,1.35,24104314,17869237
2024-01-31,AMC,2.18,28620993,13121389
2024-02-15,AMC,2.0,29359675,14667131
2024-02-29,AMC,2.17,31750252,14615808
2024-03-15,AMC,2.73,36329391,13305821
2024-03-28,AMC,3.18,42191492,13274758
2024-04-15,AMC,2.79,50685424,18166542
2024-04-30,AMC,2.78,55449039,19942711
2024-05-15,AMC,1.0,56731489,152872883
2024-05-31,AMC,1.0,58201931,65038643
2024-06-14,AMC,1.0,52945480,73137385
2024-06-28,AMC,2.28,53873669,23654709
2024-07-15,AMC,2.9,53744937,18516004
2024-07-31,AMC,2.69,51900469,19306368
2024-08-15,AMC,4.22,51247216,12141762
2024-08-30,AMC,6.27,50656601,8077030
2024-09-13,AMC,6.4,50439747,7878562
2024-09-30,AMC,5.14,57177199,11129825
2024-10-15,AMC,7.23,52759376,7300672
2024-10-31,AMC,8.12,48610057,5988686
2024-11-15,AMC,3.52,49811860,14152186
2024-11-29,AMC,3.47,49455853,14254701
